project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject,person_ids
268853,GRK 6: Räumliche Statistik,1997,2003,10349,Technische Universität Bergakademie Freiberg,7,,1292506
272247,GRK 413: Transportvorgänge in porösen Systemen der Verfahrens- und Geotechnik,1997,2003,10349,Technische Universität Bergakademie Freiberg,7,,1346710
5140520,Der Mikroprozeß der Partikelhaftung in der Festkörperverfahrenstecchnik (Haftkraftmessung) (B 1),1998,2002,10349,Technische Universität Bergakademie Freiberg,5,,1399510
5140532,Theorie der Struktur und Wechselwirkungen von auf nanorauhen und heterogenen Flächen adsorbierten Molekülschichten (B 3),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,,1384707
5140538,Kraftflussprobleme in Kugelpackungen und Brucheigenschaften spröder Partikeln (B 4),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,,"1156871,1292506"
5140542,Einfluß von Zusatzstoffen auf die Verdichtung und die Zerkleinerung feiner und feinster Gutbetten (B 5),1998,2001,10349,Technische Universität Bergakademie Freiberg,4,,1000806
5140588,Einfluß von Adsorptionsschichten auf die Fließeigenschaften gasdurchstömter feinkörniger Schüttgüter (B 7),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,,1111310
5140720,Beeinflussung der Kontaktaufladung von Kunststoffen durch Modifizierung ihrer Oberfläche (B 9),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,,"1627767,1347772"
5140740,Einfluß der Heterogenität von Modelladsorptionsschichten auf die Partikelwechselwirkung (C 2),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,,1627767
5140744,Maßgeschneiderte chemische Hilfsstoffe für Prozesse der mechanischen Verfahrenstechnik (C 3),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,,1321458
5140757,Einfluß von Sammlergemischen auf die Flotation (C 4),1998,2001,10349,Technische Universität Bergakademie Freiberg,4,,1399392
5140764,Rheologie und Aggregationsverhalten konzentrierte Suspensionen (C 5),1998,2004,10349,Technische Universität Bergakademie Freiberg,7,,1384707
