person_id,person_name,institution_id,institution_name
1394470,Professor Dr. Hans-Werner Fischer-Elfert,10351,Universität Leipzig
452622,"Dr. Mike Francke, Ph.D.",10351,Universität Leipzig
1388818,Professor Dr. Hartmut Zwahr,10351,Universität Leipzig
1642419,Professorin Dr. Anja Widdig,10351,Universität Leipzig
1069329,Professor Dr. Athanassios Giannis,10351,Universität Leipzig
258174,Professor Dr. Friedbert Prüfer,10351,Universität Leipzig
1433499,Professor Dr. Martin Middendorf,10351,Universität Leipzig
1022760,Professor Dr. Dieter Burdorf,10351,Universität Leipzig
1045542,Professor Dr. Kurt Engeland,10351,Universität Leipzig
198662465,Dr. Axel-Cyrille Ngonga Ngomo,10351,Universität Leipzig
1066480,Professor Dr. Rolf Gebhardt,10351,Universität Leipzig
268339774,Dr. Catherine Gunzenhauser,10351,Universität Leipzig
87528812,Professor Dr. Oliver Oeckler,10351,Universität Leipzig
15928956,Dr. Judith Brinkschulte,10351,Universität Leipzig
1652791,Professor Dr. Steffen Roßner,10351,Universität Leipzig
1631288,Professorin Dr. Michaela Schulz-Siegmund,10351,Universität Leipzig
1354894,Professorin Dr. Monika Krüger,10351,Universität Leipzig
1136324,Professorin Dr. Verena Klemm,10351,Universität Leipzig
1754463,Dr. Farouk F. Grewing,10351,Universität Leipzig
1026044,Professor Dr. Gernot von Collani,10351,Universität Leipzig
1645693,Dr. Annette Hupfloher,10351,Universität Leipzig
1407246,Professorin Dr. Monika Wohlrab-Sahr,10351,Universität Leipzig
988296,Professorin Dr. Dorothee Alfermann,10351,Universität Leipzig
1829827,Professorin Dr. Maren Möhring,10351,Universität Leipzig
1629498,Professor Dr. Klaus Fitschen,10351,Universität Leipzig
214958033,Dr. Hanna Jaeger,10351,Universität Leipzig
250084562,Dr. John Heiker,10351,Universität Leipzig
1270866,Professorin Dr. Charlotte Schubert,10351,Universität Leipzig
1368075,Professor Dr. Nikolaos Psarros,10351,Universität Leipzig
1362080,Professor Dr. Paul Anthony Stevenson,10351,Universität Leipzig
210424063,Dr. Stefan Höhme,10351,Universität Leipzig
